epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.82,1.78667,2.64086,1.42605,0.32924,0.27187,0.27976,0.16869,1.33185,1.4287,1.17783,0.0674832,0.000663609,0.000663609
1,76.3969,1.78667,2.64086,1.42605,0.32924,0.27187,0.27976,0.16869,1.33185,1.4287,1.17783,0.0674832,0.000663609,0.000663609
1,4.45326,2.30237,4.96783,1.77133,0.00085,0.06717,0.00063,0.00036,2.21547,5.24294,1.78423,0.09608,8e-05,8e-05
1,4.76969,3.16346,4.35825,2.53484,0.00063,0.00824,0.00034,9e-05,4.25676,4.77905,2.76475,0.09608,8e-05,8e-05
1,4.85359,3.15867,4.35172,2.53061,0.00036,0.02207,0.00019,4e-05,4.75424,4.61834,3.27687,0.09608,8e-05,8e-05
1,75.8439,1.78648,2.654,1.43726,0.43711,0.28456,0.29576,0.18304,1.28023,1.37954,1.1632,0.0674832,0.000663609,0.000663609
1,75.7695,1.81657,2.21387,1.55875,0.84585,0.27585,0.31882,0.20214,1.30449,1.39984,1.27387,0.0674832,0.000663609,0.000663609
1,75.8373,1.62814,1.81595,1.4234,0.87647,0.30123,0.36257,0.2313,1.24344,1.25955,1.2119,0.0674832,0.000663609,0.000663609
1,75.9387,1.5459,1.66094,1.36018,0.87366,0.32608,0.38416,0.24763,1.21049,1.19512,1.18435,0.0674832,0.000663609,0.000663609
1,76.0353,1.49454,1.56895,1.32296,0.71628,0.34612,0.40028,0.25924,1.18736,1.15049,1.16572,0.0674832,0.000663609,0.000663609
1,76.2115,1.45504,1.50094,1.2956,0.45363,0.36724,0.41416,0.26921,1.17028,1.11623,1.15202,0.0674832,0.000663609,0.000663609
1,76.6509,1.4224,1.44728,1.27362,0.47758,0.39806,0.42658,0.27777,1.15674,1.08676,1.14006,0.0674832,0.000663609,0.000663609
1,76.2974,1.39387,1.40116,1.25441,0.46758,0.41944,0.43888,0.28643,1.145,1.06001,1.12869,0.0674832,0.000663609,0.000663609
1,76.3078,1.36898,1.36167,1.23741,0.47921,0.43484,0.45181,0.29475,1.13519,1.03718,1.11867,0.0674832,0.000663609,0.000663609
1,75.6614,1.3468,1.3264,1.22235,0.49673,0.44855,0.46341,0.30286,1.12579,1.01714,1.11013,0.0674832,0.000663609,0.000663609
1,76.2637,1.32719,1.29542,1.20932,0.52075,0.45472,0.4758,0.31114,1.11662,0.9979,1.10195,0.0674832,0.000663609,0.000663609
1,76.5115,1.31,1.26849,1.19816,0.53797,0.46639,0.48868,0.31874,1.1127,0.98289,1.09629,0.0674832,0.000663609,0.000663609
1,76.1293,1.29357,1.2437,1.18804,0.54212,0.47643,0.49911,0.32608,1.10778,0.96915,1.09072,0.0674832,0.000663609,0.000663609
1,76.2428,1.27868,1.22127,1.17904,0.56588,0.47954,0.50878,0.33177,1.10825,0.95954,1.08819,0.0674832,0.000663609,0.000663609
1,75.8416,1.26437,1.20097,1.17075,0.57997,0.48265,0.51856,0.33813,1.10682,0.94825,1.08468,0.0674832,0.000663609,0.000663609
1,76.075,1.251,1.18183,1.16292,0.57082,0.50035,0.52792,0.34385,1.10616,0.93837,1.08192,0.0674832,0.000663609,0.000663609
1,75.9953,1.23877,1.16422,1.15602,0.57732,0.50828,0.53665,0.34949,1.10764,0.93091,1.08035,0.0674832,0.000663609,0.000663609
1,76.1006,1.22709,1.14804,1.14953,0.59377,0.51557,0.54489,0.35489,1.10524,0.92152,1.0776,0.0674832,0.000663609,0.000663609
1,76.2475,1.21569,1.13232,1.14348,0.60925,0.52128,0.5533,0.36094,1.10358,0.91416,1.07504,0.0674832,0.000663609,0.000663609
1,75.9628,1.20494,1.11806,1.13789,0.64504,0.51833,0.55978,0.36528,1.10347,0.90695,1.07359,0.0674832,0.000663609,0.000663609
1,76.0412,1.19456,1.10431,1.13246,0.65098,0.51908,0.56578,0.36929,1.10355,0.89979,1.07193,0.0674832,0.000663609,0.000663609
1,76.0846,1.18427,1.09135,1.12727,0.65033,0.52839,0.57214,0.37344,1.10158,0.89319,1.06987,0.0674832,0.000663609,0.000663609
1,75.9544,1.17464,1.07911,1.12253,0.65661,0.5317,0.57701,0.37701,1.10282,0.88834,1.0695,0.0674832,0.000663609,0.000663609
1,76.449,1.16534,1.06747,1.11795,0.65886,0.53231,0.58151,0.3788,1.11133,0.88748,1.07191,0.0674832,0.000663609,0.000663609
1,76.0441,1.15634,1.0564,1.11359,0.6538,0.53754,0.58542,0.38168,1.11106,0.88256,1.07065,0.0674832,0.000663609,0.000663609
1,75.8425,1.14749,1.04575,1.1094,0.65053,0.54155,0.58915,0.38453,1.11123,0.87886,1.07003,0.0674832,0.000663609,0.000663609
1,76.2891,1.13842,1.03451,1.10504,0.64463,0.54968,0.59277,0.38717,1.10926,0.87441,1.06869,0.0674832,0.000663609,0.000663609
1,76.0881,1.13022,1.0246,1.10099,0.63827,0.55541,0.59543,0.38901,1.11327,0.87367,1.06962,0.0674832,0.000663609,0.000663609
1,76.1253,1.12246,1.01532,1.09739,0.63323,0.56809,0.59804,0.39091,1.1073,0.8688,1.06717,0.0674832,0.000663609,0.000663609
1,76.4493,1.1146,1.00638,1.09375,0.63278,0.57065,0.6014,0.39356,1.10521,0.86397,1.06568,0.0674832,0.000663609,0.000663609
1,76.0012,1.10684,0.99764,1.0902,0.62777,0.58032,0.60372,0.39581,1.09667,0.86032,1.06243,0.0674832,0.000663609,0.000663609
1,76.1423,1.09946,0.98904,1.08687,0.63752,0.57586,0.60582,0.39721,1.09962,0.85791,1.06305,0.0674832,0.000663609,0.000663609
1,76.0699,1.09196,0.98064,1.08349,0.64377,0.57675,0.60752,0.39837,1.0976,0.85681,1.06221,0.0674832,0.000663609,0.000663609
1,76.2004,1.08495,0.97269,1.08032,0.6392,0.58368,0.61004,0.40034,1.09209,0.85193,1.05945,0.0674832,0.000663609,0.000663609
1,76.4159,1.07783,0.96477,1.07721,0.64337,0.58002,0.61042,0.4014,1.0934,0.85035,1.06001,0.0674832,0.000663609,0.000663609
1,75.9886,1.07084,0.95677,1.07413,0.65035,0.57651,0.61075,0.40111,1.09799,0.85197,1.06167,0.0674832,0.000663609,0.000663609
1,76.4748,1.0639,0.94897,1.07115,0.64742,0.57872,0.61163,0.40262,1.09274,0.84738,1.0595,0.0674832,0.000663609,0.000663609
1,129.222,1.05707,0.94142,1.06818,0.64887,0.58284,0.61192,0.40252,1.09475,0.84694,1.06002,0.0674832,0.000663609,0.000663609
1,82.3673,1.05064,0.93403,1.0654,0.65068,0.57749,0.61258,0.40306,1.09261,0.8448,1.05923,0.0674832,0.000663609,0.000663609
1,241.534,1.04404,0.92702,1.06257,0.65373,0.58311,0.61385,0.40288,1.09272,0.84462,1.05961,0.0674832,0.000663609,0.000663609
